Category,Description,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
BUTTER,"BUTTER,WITH SALT",684,0.17,0.003,0.0,2.32,7.0
BUTTER,"BUTTER,WHIPPED,WITH SALT",684,0.13,0.003,0.0,2.32,7.0
BUTTER OIL,"BUTTER OIL,ANHYDROUS",840,0.01,0.001,0.0,2.8,8.6
CHEESE,"CHEESE,BLUE",198,1.22,0.166,0.0,0.25,2.4
CHEESE,"CHEESE,BRICK",292,1.26,0.065,0.0,0.26,2.5
CHEESE,"CHEESE,BRIE",174,1.65,0.235,0.0,0.24,2.3
CHEESE,"CHEESE,CAMEMBERT",241,1.3,0.227,0.0,0.21,2.0
CHEESE,"CHEESE,CARAWAY",271,0.27,0.074,0.0,0.0,0.0
CHEESE,"CHEESE,CHEDDAR",265,0.83,0.074,0.0,0.29,2.8
CHEESE,"CHEESE,CHESHIRE",233,0.83,0.074,0.0,0.0,0.0
CHEESE,"CHEESE,COLBY",264,0.83,0.079,0.0,0.28,2.7
CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",37,0.43,0.046,0.0,0.08,0.0
CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",38,0.53,0.068,1.4,0.04,0.4
CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",2,0.46,0.016,0.0,0.01,0.0
CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",20,0.45,0.022,0.0,0.04,0.0
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",11,0.63,0.068,0.0,0.01,0.1
CHEESE,"CHEESE,CREAM",362,0.25,0.035,0.0,0.65,3.4
CHEESE,"CHEESE,EDAM",243,1.54,0.076,0.0,0.24,2.3
CHEESE,"CHEESE,FETA",125,1.69,0.424,0.0,0.18,1.8
CHEESE,"CHEESE,FONTINA",261,1.68,0.083,0.0,0.27,2.6
CHEESE,"CHEESE,GJETOST",334,2.42,0.271,0.0,0.0,0.0
CHEESE,"CHEESE,GOUDA",165,1.54,0.08,0.0,0.24,2.3
CHEESE,"CHEESE,GRUYERE",271,1.6,0.081,0.0,0.28,2.7
CHEESE,"CHEESE,LIMBURGER",340,1.04,0.086,0.0,0.23,2.3
CHEESE,"CHEESE,MONTEREY",198,0.83,0.079,0.0,0.26,2.5
CHEESE,"CHEESE,MOZZARELLA,WHL MILK",179,2.28,0.037,0.0,0.19,2.3
CHEESE,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",197,0.73,0.062,0.0,0.21,2.5
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK",127,0.82,0.07,0.0,0.14,1.6
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",137,2.31,0.079,0.0,0.37,1.3
CHEESE,"CHEESE,MUENSTER",298,1.47,0.056,0.0,0.26,2.5
CHEESE,"CHEESE,NEUFCHATEL",241,0.3,0.041,0.0,0.4,1.7
CHEESE,"CHEESE,PARMESAN,GRATED",120,2.26,0.049,0.0,0.26,1.9
CHEESE,"CHEESE,PARMESAN,HARD",108,1.2,0.091,0.0,0.23,1.7
CHEESE,"CHEESE,PORT DE SALUT",315,1.5,0.053,0.0,0.24,2.4
CHEESE,"CHEESE,PROVOLONE",236,1.46,0.073,0.0,0.23,2.2
CHEESE,"CHEESE,RICOTTA,WHOLE MILK",120,0.34,0.043,0.0,0.11,1.1
CHEESE,"CHEESE,RICOTTA,PART SKIM MILK",107,0.29,0.02,0.0,0.07,0.7
CHEESE,"CHEESE,ROMANO",96,1.12,0.085,0.0,0.23,2.2
CHEESE,"CHEESE,ROQUEFORT",294,0.64,0.124,0.0,0.0,0.0
CHEESE,"CHEESE,SWISS",220,3.34,0.083,0.0,0.38,2.5
CHEESE,"CHEESE,TILSIT",249,2.1,0.065,0.0,0.0,0.0
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",254,0.7,0.071,0.0,0.27,2.7
CHEESE,"CHEESE,PAST PROCESS,PIMENTO",248,0.7,0.071,2.3,0.29,2.9
CHEESE,"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",198,1.23,0.036,0.0,0.34,2.2
CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",159,1.28,0.141,0.0,0.0,0.0
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",201,1.26,0.073,0.0,0.22,3.4
CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",237,2.3,0.035,0.0,0.0,0.0
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",173,0.4,0.117,0.0,0.19,1.8
CREAM,"CREAM,FLUID,HALF AND HALF",97,0.33,0.039,0.9,0.33,1.3
CREAM,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",181,0.22,0.032,0.8,0.55,1.7
CREAM,"CREAM,FLUID,LT WHIPPING",279,0.2,0.028,0.6,0.88,2.7
CREAM,"CREAM,FLUID,HVY WHIPPING",411,0.18,0.026,0.6,1.06,3.2
CREAM,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",188,0.29,0.041,0.0,0.64,1.9
CREAM,"CREAM,SOUR,RED FAT,CULTURED",102,0.3,0.016,0.9,0.34,0.6
CREAM,"CREAM,SOUR,CULTURED",162,0.28,0.057,0.9,0.44,1.8
No Category,EGGNOG,46,0.45,0.05,1.5,0.2,0.2
SOUR DRSNG,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",3,0.33,0.017,0.9,1.34,4.1
MILK,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",2,0.34,0.04,0.9,0.0,0.0
MILK,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",2,0.34,0.04,0.9,0.13,0.8
CREAM SUB,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",1,0.0,0.0,0.0,0.81,2.5
CREAM SUB,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",4,0.0,0.0,0.0,0.0,0.0
CREAM SUBSTITUTE,"CREAM SUBSTITUTE,POWDERED",2,0.0,0.0,0.0,0.59,8.8
DESSERT TOPPING,"DESSERT TOPPING,POWDERED",9,0.0,0.0,0.0,1.52,9.9
DESSERT TOPPING,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",23,0.26,0.03,0.7,0.44,2.7
DESSERT TOPPING,"DESSERT TOPPING,PRESSURIZED",4,0.0,0.0,0.0,0.85,5.5
DESSERT TOPPING,"DESSERT TOPPING,SEMI SOLID,FRZ",7,0.0,0.0,0.0,0.96,6.3
SOUR CRM,"SOUR CRM,IMITN,CULTURED",0,0.0,0.0,0.0,0.74,4.8
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",0,0.0,0.0,0.0,0.28,0.8
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",0,0.0,0.0,0.0,0.0,0.0
MILK,"MILK,WHL,3.25% MILKFAT",28,0.44,0.036,0.0,0.06,0.2
MILK,"MILK,PRODUCER,FLUID,3.7% MILKFAT",33,0.36,0.042,1.5,0.0,0.0
MILK,"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",55,0.46,0.038,0.2,0.03,0.2
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",56,0.38,0.045,1.0,0.0,0.0
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",0,0.43,0.051,1.1,0.04,0.1
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",58,0.44,0.037,0.0,0.01,0.1
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",59,0.38,0.045,1.0,0.0,0.0
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",61,0.43,0.05,1.2,0.0,0.0
MILK,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",61,0.53,0.037,0.0,0.01,0.0
MILK,"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",61,0.39,0.046,1.0,0.0,0.0
MILK,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",61,0.43,0.05,1.1,0.0,0.0
MILK,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",7,0.22,0.034,1.0,0.05,0.1
MILK,"MILK,LOW SODIUM,FLUID",28,0.36,0.034,0.9,0.06,0.2
MILK,"MILK,DRY,WHOLE",257,3.25,0.302,8.6,0.48,1.8
MILK,"MILK,DRY,NONFAT,REG,WO/ VIT A",6,4.03,0.361,6.8,0.0,0.1
MILK,"MILK,DRY,NONFAT,INST,W/ VIT A",709,3.99,0.345,5.6,0.01,0.0
MILK,"MILK,DRY,NONFAT,CA RED",2,3.98,0.298,6.7,0.0,0.0
MILK,"MILK,BUTTERMILK,DRIED",49,3.82,0.338,5.7,0.1,0.4
MILK,"MILK,CND,COND,SWTND",74,0.44,0.051,2.6,0.16,0.6
MILK,"MILK,CND,EVAP,WO/ VIT A",65,0.16,0.05,1.9,0.14,0.5
MILK,"MILK,CND,EVAP,NONFAT",118,0.24,0.055,1.2,0.0,0.0
MILK,"MILK,CHOC,FLUID,COMM,",26,0.33,0.04,0.9,0.06,0.2
MILK,"MILK,CHOC,FLUID,COMM,RED FAT",64,0.33,0.024,0.0,0.04,0.2
MILK,"MILK,CHOC,FLUID,COMM,LOWFAT",58,0.34,0.041,0.9,0.02,0.1
MILK,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",51,0.42,0.04,0.2,0.03,0.2
MILK,"MILK,GOAT,FLUID",57,0.07,0.046,1.3,0.07,0.3
MILK,"MILK,HUMAN,MATURE,FLUID",61,0.05,0.011,5.0,0.08,0.3
MILK,"MILK,INDIAN BUFFALO,FLUID",53,0.36,0.023,2.3,0.0,0.0
MILK,"MILK,SHEEP,FLUID",44,0.71,0.06,4.2,0.0,0.0
MILK SHAKES,"MILK SHAKES,THICK CHOC",18,0.32,0.025,0.0,0.05,0.2
MILK SHAKES,"MILK SHAKES,THICK VANILLA",25,0.52,0.042,0.0,0.05,0.2
WHEY,"WHEY,ACID,FLUID",2,0.18,0.042,0.1,0.0,0.0
WHEY,"WHEY,ACID,DRIED",17,2.5,0.62,0.9,0.0,0.0
